,Unnamed: 0,Unnamed: 1,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,SDSS J000013.54+255418.6 [de],46.1,48.0,0.99,288575834195494.06
1,1,Sirius,2MASS J00040288-6410358,192.0,19.0,1.63,
2,2,Canopus,LHS 102BC,,,,2683216173370426.0
3,3,Alpha Centauri,2MASS J00242463-0158201,37.7,79.0,1.09,
4,4,Arcturus,2MASS J00250365+4759191AB,143.0,,,603279096361635.4
5,5,Vega,2MASS J00274197+0503417,236.0,31.0,1.44,
6,6,Capella,2MASS J00275592+2219328,46.9,,,2268940859575859.5
7,7,Rigel,2MASSW J0030300-145033,87.2,54.0,0.98,572278579633188.6
8,8,Procyon,2MASS J00332386-1521309 [de],131.0,29.0,1.43,1918117248975980.5
9,9,Betelgeuse,2MASS J00345157+0523050,31.0,42.0,0.94,1918117248975980.5
10,10,Achernar,2MASS 0036+1821,28.6,42.0,0.94,353654651471257.4
11,11,Hadar,2MASSW J0045214+163445,57.0,23.0,1.62,286533964699100.0
12,12,Altair,WISEP J004701.06+680352.1 [fr],40.0,12.0,1.3,1826778332358076.8
13,13,Acrux,2MASS J00501994-3322402 [de],34.0,40.0,0.94,
14,14,Aldebaran,2MASS J00034227-2822410,,,,572278579633188.6
15,15,Antares,2MASS J00584253-0651239 [de],96.0,29.0,1.43,
16,16,Spica,CFBDS J005910.90–011401.3,30.0,23.0,,2184906012924901.5
17,17,Pollux,2MASSI J0103320+193536,70.0,52.0,0.98,2184906012924901.5
18,18,Fomalhaut,SDSSp J010752.33+004156.1 [de],51.0,52.0,0.98,307525783888049.9
19,19,Deneb,2MASSI J0117474-340325 [de],163.0,20.0,1.62,311357843924153.44
20,20,Mimosa,2MASS J01415823-4633574 [de],130.0,20.0,1.61,2015746697846876.2
21,21,Regulus,SDSS J015141.69+124429.6,70.0,47.0,0.97,
22,22,Adhara,DENIS-P J020529.0−115925A,65.0,,,
23,23,Shaula,DENIS-P J020529.0−115925B,65.0,,,
24,24,Castor,DENIS-P J020529.0−115925C,65.0,,,2015746697846876.2
25,25,Gacrux,SDSS J020742.48+000056.2 [de],111.0,47.0,0.97,258577043199986.6
26,26,Bellatrix,2MASS J02103857-3015313,101.0,15.0,1.53,307525783888049.9
27,27,Elnath,2MASS J02340093-6442068,155.0,20.0,1.62,548033499707423.06
28,28,Miaplacidus,2MASS J02411151-0326587 [de],152.0,27.0,1.41,1358704826996293.5
29,29,Alnilam,2MASS J02431371−2453298,35.0,33.0,0.99,2698538753617638.0
30,30,Gamma Velorum,LP 771-21,53.0,78.0,1.08,
31,31,Alnair,2MASS J02511327+0047364,,,,2001539257823295.5
32,32,Alioth,Teegarden's star,12.578,80.0,1.27,726587165794001.2
33,33,Alnitak,2MASS J02535980+3206373,184.0,65.0,1.9,726587165794001.2
34,34,Dubhe,WISE J0254+0223,24.0,65.0,1.9,3431058209101066.0
35,35,Mirfak,DEN 0255-4700,16.2,80.0,0.97,2101523153074403.0
36,36,Wezen,2MASS J03185403-3421292 [de],45.0,49.0,0.97,2685150046001900.5
37,37,Sargas,2MASS J03205965+1854233,47.0,88.0,1.15,336816398360127.7
38,38,Kaus Australis,2MASS J03231002-4631237,192.0,23.0,1.66,2012087536044926.8
39,39,Avior,SDSS J032553.17+042540.1,59.0,45.0,0.95,429800947048649.94
40,40,Alkaid,2MASS J03264225-2102057 [de],80.0,18.0,1.3,2268940859575859.5
41,41,Menkalinan,2MASS J03284265+2302051 [de],98.0,54.0,0.98,2723565029040924.0
42,42,Atria,2MASS J03341218-4953322,27.0,73.0,1.04,1440563321145612.8
43,43,Alhena,LP 944-20,20.9,73.0,1.43,2708536479612203.0
44,44,Peacock,2MASP J0345432+254023,88.0,74.0,1.05,155331901045494.62
